posting_year,city,company_size,industry,job_title,seniority_level,ai_intensity_score,salary_usd,automation_risk_score,ai_job_displacement_risk,industry_ai_adoption_stage
2018,London,Small,Education,Policy Analyst,Lead,0.81,61586,0.11,Low,Growing
2015,Singapore,Medium,Energy,Data Scientist,Executive,0.04,62045,0.71,High,Emerging
2016,Sydney,Startup,Finance,Product Manager,Junior,0.15,27035,0.86,High,Emerging
2015,Nairobi,Large,Government,Data Scientist,Mid,0.19,72894,0.7,Low,Emerging
2014,Sydney,Small,Manufacturing,ML Engineer,Lead,0.11,57215,0.87,High,Emerging
2022,London,Enterprise,Government,ML Engineer,Senior,0.77,67379,0.29,High,Growing
2016,Singapore,Medium,Healthcare,Software Engineer,Mid,0.11,63931,0.6,Low,Emerging
2014,Paris,Large,Healthcare,Systems Engineer,Executive,0.03,39525,0.89,Low,Emerging
2017,Bangalore,Startup,Education,Policy Analyst,Junior,0.44,29117,0.25,High,Growing
2023,Seoul,Startup,Government,AI Researcher,Junior,0.2,24450,0.7,Low,Growing
2011,Tokyo,Startup,Agriculture,ML Engineer,Senior,0.19,73953,0.75,Medium,Emerging
2014,New York,Medium,Education,Data Scientist,Lead,0.01,77948,0.69,High,Emerging
2017,Singapore,Enterprise,Tech,Operations Manager,Lead,0.53,90257,0.19,High,Growing
2012,Nairobi,Medium,Education,Software Engineer,Junior,0.09,64424,0.9,High,Emerging
2018,Berlin,Large,Agriculture,Operations Manager,Lead,0.75,38150,0.2,High,Growing
2014,Seoul,Small,Energy,AI Researcher,Junior,0.78,32930,0.27,Medium,Emerging
2015,Bangalore,Large,Finance,Data Scientist,Executive,0.17,18976,0.74,Low,Emerging
2022,Bangalore,Medium,Agriculture,Research Scientist,Senior,0.02,31038,0.89,Low,Growing
2023,Singapore,Enterprise,Tech,Product Manager,Lead,0.11,103705,0.8,Medium,Mature
2014,Sydney,Large,Education,Business Analyst,Junior,0.08,60168,0.77,High,Emerging
2019,Toronto,Enterprise,Agriculture,Systems Engineer,Executive,0.52,97050,0.17,Low,Growing
2017,Toronto,Enterprise,Healthcare,Research Scientist,Executive,0.11,47653,0.64,Medium,Growing
2025,Lagos,Medium,Education,Software Engineer,Senior,0.58,102722,0.17,Medium,Growing
2022,Paris,Startup,Government,AI Researcher,Mid,0.06,92058,0.85,High,Growing
2010,New York,Enterprise,Energy,Product Manager,Junior,0.01,31284,0.74,Low,Emerging
2011,Tokyo,Small,Retail,AI Researcher,Junior,0.16,75382,0.88,Low,Emerging
2019,Tokyo,Enterprise,Finance,Research Scientist,Intern,0.92,56598,0.35,High,Growing
2020,Lagos,Large,Tech,ML Engineer,Executive,0.02,51789,0.85,High,Growing
2017,New York,Medium,Finance,ML Engineer,Senior,0.05,59859,0.71,High,Growing
2016,Toronto,Small,Finance,Software Engineer,Mid,0.1,82640,0.79,High,Emerging
2021,Nairobi,Enterprise,Energy,AI Researcher,Executive,0.47,50708,0.26,Low,Growing
2010,Seoul,Small,Agriculture,Data Scientist,Lead,0.19,60960,0.64,Low,Emerging
2012,London,Large,Energy,Policy Analyst,Senior,0.48,45359,0.4,Low,Emerging
2016,Dubai,Startup,Manufacturing,Data Scientist,Junior,0.03,36035,0.74,Medium,Emerging
2013,Bangalore,Small,Agriculture,Software Engineer,Senior,0.18,21542,0.65,High,Emerging
2018,Paris,Startup,Tech,ML Engineer,Lead,0.85,97664,0.15,Medium,Growing
2023,Bangalore,Medium,Government,Systems Engineer,Lead,0.08,89917,0.63,Low,Growing
2025,Nairobi,Startup,Government,Business Analyst,Lead,0.88,131344,0.29,Low,Growing
2014,Paris,Medium,Government,AI Researcher,Lead,0.05,36974,0.67,High,Emerging
2019,Singapore,Small,Government,Research Scientist,Senior,0.1,84431,0.71,Medium,Growing
2025,Seoul,Small,Tech,Operations Manager,Mid,0.45,125397,0.14,High,Mature
2025,London,Startup,Agriculture,Software Engineer,Senior,0.05,84161,0.67,Low,Growing
2023,Dubai,Small,Healthcare,Operations Manager,Executive,0.44,43249,0.17,Medium,Growing
2024,Singapore,Enterprise,Retail,Data Scientist,Executive,0.95,131923,0.21,Medium,Growing
2016,Dubai,Small,Manufacturing,Software Engineer,Mid,0.18,24636,0.73,Medium,Emerging
2015,London,Large,Manufacturing,Systems Engineer,Lead,0.06,83056,0.74,Low,Emerging
2022,Dubai,Startup,Retail,Operations Manager,Executive,0.09,28175,0.7,Medium,Growing
2017,Dubai,Small,Agriculture,Software Engineer,Senior,0.07,48059,0.76,Low,Growing
2021,New York,Large,Tech,ML Engineer,Lead,0.45,59541,0.39,Low,Growing
2010,Berlin,Small,Manufacturing,AI Researcher,Lead,0.11,21791,0.86,High,Emerging
2012,New York,Large,Government,Data Scientist,Intern,0.1,60819,0.88,Low,Emerging
2014,Paris,Small,Finance,Policy Analyst,Lead,0.13,22724,0.9,Medium,Emerging
2023,London,Medium,Finance,Policy Analyst,Intern,0.91,50798,0.13,Medium,Mature
2019,Seoul,Startup,Retail,Business Analyst,Lead,0.04,66485,0.63,High,Growing
2018,Lagos,Medium,Manufacturing,Policy Analyst,Junior,0.04,77510,0.62,High,Growing
2014,Tokyo,Enterprise,Healthcare,Systems Engineer,Intern,0.64,53628,0.22,Medium,Emerging
2016,Sydney,Small,Manufacturing,Systems Engineer,Lead,0.15,77382,0.75,Medium,Emerging
2024,Seoul,Medium,Finance,Systems Engineer,Intern,0.41,103592,0.29,Medium,Mature
2015,Seoul,Enterprise,Finance,Software Engineer,Junior,0.11,18799,0.71,Low,Emerging
2024,Paris,Medium,Retail,Operations Manager,Senior,0.64,56112,0.12,Low,Growing
2024,Seoul,Startup,Agriculture,Policy Analyst,Executive,0.66,115685,0.13,High,Growing
2021,Bangalore,Large,Manufacturing,Product Manager,Intern,0.76,97171,0.3,High,Growing
2022,Sao Paulo,Small,Retail,Data Scientist,Mid,0.17,72871,0.76,Low,Growing
2012,Nairobi,Startup,Manufacturing,ML Engineer,Junior,0.11,68153,0.8,Medium,Emerging
2019,Singapore,Small,Government,Business Analyst,Senior,0.06,24976,0.85,High,Growing
2013,Sydney,Startup,Agriculture,Operations Manager,Mid,0.15,20314,0.64,High,Emerging
2012,Berlin,Small,Retail,Operations Manager,Executive,0.19,21021,0.84,Low,Emerging
2023,Seoul,Medium,Finance,Policy Analyst,Lead,0.53,36488,0.12,High,Mature
2023,Toronto,Startup,Healthcare,Product Manager,Mid,0.68,40159,0.22,Low,Growing
2011,Toronto,Enterprise,Retail,Software Engineer,Executive,0.13,22641,0.89,Medium,Emerging
2025,Singapore,Startup,Manufacturing,Product Manager,Senior,0.04,90205,0.86,Medium,Growing
2023,Lagos,Large,Finance,Operations Manager,Mid,0.46,92276,0.23,Low,Mature
2015,Sao Paulo,Small,Tech,Systems Engineer,Lead,0.14,22573,0.67,Medium,Emerging
2014,Toronto,Medium,Agriculture,Business Analyst,Mid,0.13,31076,0.82,Low,Emerging
2012,Lagos,Medium,Retail,Policy Analyst,Junior,0.11,59600,0.65,Medium,Emerging
2021,Nairobi,Enterprise,Government,ML Engineer,Mid,0.57,42821,0.26,Low,Growing
2023,Tokyo,Startup,Agriculture,Software Engineer,Mid,0.1,78499,0.88,Medium,Growing
2015,Seoul,Small,Healthcare,Data Scientist,Executive,0.14,77107,0.77,High,Emerging
2017,Singapore,Medium,Energy,Product Manager,Executive,0.14,54294,0.74,Low,Growing
2013,Tokyo,Large,Manufacturing,Research Scientist,Executive,0.02,18385,0.78,Medium,Emerging
2012,Dubai,Enterprise,Energy,Policy Analyst,Intern,0.05,32595,0.68,High,Emerging
2011,Nairobi,Startup,Energy,ML Engineer,Intern,0.04,57554,0.75,High,Emerging
2011,Berlin,Small,Tech,ML Engineer,Senior,0.16,56978,0.87,Medium,Emerging
2020,Toronto,Large,Finance,Data Scientist,Lead,0.16,97151,0.61,Low,Growing
2010,Toronto,Medium,Government,Policy Analyst,Junior,0.08,31890,0.78,Medium,Emerging
2021,Bangalore,Enterprise,Manufacturing,Operations Manager,Mid,0.19,24836,0.88,High,Growing
2021,Seoul,Medium,Healthcare,ML Engineer,Intern,0.91,107201,0.16,Low,Growing
2020,Sao Paulo,Startup,Government,AI Researcher,Mid,0.03,51840,0.65,Low,Growing
2023,Bangalore,Startup,Healthcare,Business Analyst,Lead,0.08,97165,0.89,High,Growing
